,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.998661311914324,0.3956916099773243,0.21677495569994093,0.9825970548862115,0.355189934672151,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9948129948129948,0.39160997732426306,0.9880478087649402,0.2708162708162708,0.4251124919648597,N/A,0.8306122448979592,N/A
3,Category Mean,0.9967371533636593,0.3936507936507937,0.6024113822324406,0.6267066628512412,0.39015121331850533,0.4132684669540539,N/A,N/A
4,PHYSICAL ASSAULT,0.9913793103448276,0.9936507936507937,0.8728813559322034,0.8879310344827587,0.8803418803418803,0.443010752688172,0.026303854875283448,116
5,DISCRIMINATION,0.9938837920489296,0.9022675736961451,0.3984375,0.6238532110091743,0.4862932061978546,0.3388704318936877,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,0.9974489795918368,0.954875283446712,0.7658402203856749,0.7091836734693877,0.7364238410596027,0.4473049074818986,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.995880535530381,0.8020408163265306,0.5349500713266762,0.772399588053553,0.6321112515802781,0.4017139796464917,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.994238683127572,0.8324263038548753,0.749475890985325,0.588477366255144,0.6592899953895804,0.4808338937457969,0.2755102040816326,1215
9,BULLYING,0.9929328621908127,0.7600907029478458,0.9011235955056179,0.2833922261484099,0.4311827956989247,0.31328125,0.32086167800453513,1415
10,DENIGRATION,0.9957446808510638,0.63718820861678,0.46728650137741046,0.9624113475177305,0.6291145108947612,0.4071407140714071,0.3197278911564626,1410
11,HISTORICAL,0.9965706447187929,0.8172335600907029,0.8908872901678657,0.50960219478738,0.6483420593368238,0.46394005619731504,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9985855728429985,0.954421768707483,0.8731563421828908,0.8373408769448374,0.8548736462093863,0.6903790087463557,0.16031746031746033,707
13,Type Mean,0.995185006805246,0.8504661123708743,0.7171154186515182,0.6860657242964862,0.6619970207454546,0.4361134432807262,N/A,890.1111111111111
