,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.9745649263721553,0.5707482993197279,0.23274253731343283,0.6680053547523427,0.3452092701487375,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9877149877149877,0.5648526077097505,0.8960036330608537,0.5386295386295387,0.6728047740835464,N/A,0.8306122448979592,N/A
3,Category Mean,0.9811399570435715,0.5678004535147392,0.5643730851871432,0.6033174466909407,0.509007022116142,0.6173141070905074,N/A,N/A
4,PHYSICAL ASSAULT,1.0,0.981859410430839,0.6730769230769231,0.603448275862069,0.6363636363636364,0.3422982885085575,0.026303854875283448,116
5,DISCRIMINATION,0.9877675840978594,0.780952380952381,0.13402061855670103,0.3577981651376147,0.195,0.10888785481619358,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,0.9897959183673469,0.8099773242630386,0.2998204667863555,0.8520408163265306,0.4435590969455511,0.24037423533645197,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.9824922760041195,0.707936507936508,0.14058956916099774,0.06385169927909372,0.08781869688385269,0.07434052757793765,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9893004115226337,0.7727891156462585,0.5785977859778598,0.6452674897119342,0.6101167315175098,0.4399551066217733,0.2755102040816326,1215
9,BULLYING,0.9915194346289753,0.7058956916099773,0.7587719298245614,0.12226148409893993,0.21059038344491784,0.1743073047858942,0.32086167800453513,1415
10,DENIGRATION,0.9957446808510638,0.6430839002267573,0.4677926158680283,0.8446808510638298,0.602123356926188,0.40209318028359214,0.3197278911564626,1410
11,HISTORICAL,0.977366255144033,0.6113378684807256,0.37122736418511065,0.25308641975308643,0.300978792822186,0.2349570200573066,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9915134370579916,0.8750566893424037,0.6211180124223602,0.5657708628005658,0.5921539600296077,0.5063291139240507,0.16031746031746033,707
13,Type Mean,0.989499999741558,0.7654320987654321,0.44944614287321083,0.4786895626704071,0.40874496165927215,0.2859078737145389,N/A,890.1111111111111
