Description,Auto Increment,Date,Category,University,Year
"<p>Cornell University Student Assembly <a href=""https://cornellsun.com/2022/09/20/university-and-cornell-jewish-community-respond-to-antisemitic-actions-jewish-cornellians-rally-on-ho-plaza/"" target=""_blank"">passed</a> a resolution titled ""Resolution Five: Condemning Antisemitism"".
</p>",61,9/15/2022,General A/S,Cornell University,2022
"<p>The University of Wisconsin-Madison’s student government unanimously <a href=""https://www.dailycardinal.com/article/2022/04/asm-unanimously-passes-resolution-addressing-campus-antisemitism"" target=""_blank"">passed</a> a <a href=""https://drive.google.com/file/d/1gG126etxpmgMGLe3DT9PWIl9OLKPR98L/view"" target=""_blank"">resolution</a> condemning antisemitism titled ""Resolution Addressing Anti-Semitism on Campus,"" which urged the university administration to ""discipline the perpetrators of these [antisemitic] acts, if and when known, and the perpetrators of all future antisemitic and racist acts.""
</p>",58,4/13/2022,General A/S,"University of Wisconsin, Madison",2022
"<p>The student government <a href=""https://scribe.uccs.edu/sga-passes-stop-racism-event-funding-and-antisemitism-resolution/?utm_source=rss&utm_medium=rss&utm_campaign=sga-passes-stop-racism-event-funding-and-antisemitism-resolution"" target=""_blank"">passed</a> a resolution that called for the adoption of the IHRA definition of antisemitism.
</p>",59,4/7/2022,"IHRA Definition, General A/S",University of Colorado Colorado Springs,2022
"<p>The student government board <a href=""https://jewishchronicle.timesofisrael.com/university-of-pittsburgh-adopts-ihras-definition-of-antisemitism/"" target=""_blank"">voted</a> to support the IHRA definition, which follows on the heels of the university formally <a href=""https://jewishchronicle.timesofisrael.com/university-of-pittsburgh-adopts-ihras-definition-of-antisemitism/"" target=""_blank"">adopting</a> the IHRA definition on March 30, 2022. The IHRA definition will now be included in the university’s nondiscriminatory policy.
</p>",60,4/5/2022,IHRA Definition,University of Pittsburgh,2022
"<p>According to <em><a href=""https://www.idsnews.com/article/2022/02/iusg-congress-passes-legislation-condeming-police-brutality-antisemitism"" target=""_blank"">IDS News</a></em>, the IUSG Congress ""passed a non-binding internal resolution condemning recent online antisemitic comments directed toward Jewish students at IU. IUSG intends to adopt the International Holocaust Remembrance Alliance’s non-legally binding working definition of antisemitism and encourages Indiana University to do the same. As the first non-binding internal resolution of Congress, the resolution holds no official weight as an IUSG policy, according to the press release.""
</p>",57,2/22/2022,"IHRA Definition, General A/S",Indiana University Bloomington,2022
"<p>A <a href=""https://www.dukechronicle.com/article/2022/02/duke-student-government-antisemitism-resolution-structure-training-jewish-life-meeting-dsg"" target=""_blank"">resolution</a> endorsing the IHRA definition of antisemitism <a href=""https://twitter.com/JewishonCampus_/status/1489261598556364804"" target=""_blank"">passed</a> unanimously in the student government.
</p>",56,2/2/2022,IHRA Definition,Duke University,2022
"<p>The student government <a href=""https://www.deanza.edu/dasg/agendasminutes/2020-2021/2021-05-12sm.pdf"" target=""_blank"">passed</a> a ""Statement to Condemn Antisemitism"" that expressed, ""De Anza Student Government Senate is firmly against antisemitism, defined as prejudice and discrimination against Jews and those perceived as Jews. The DASG Senate recognizes that existing organizations and definitions each have their controversies and limitations attached to them. As a result, we will not be officially endorsing any existing definitions or organizations. We condemn the antisemitism that has occurred on De Anza’s campus, particularly the putting up of antisemitic posters in 2017 that denied the occurrence of the Holocaust. The DASG Senate and De Anza College do not tolerate discrimination, and any instances of antisemitism on campus should be reported to Judicial Affairs to be dealt with appropriately by the college. The fight against antisemitism is a part of a larger fight against white supremacy, and the DASG Senate is committed to challenging all forms of bigotry and discrimination.""
</p>",55,5/12/2021,General A/S,De Anza College,2021
"<p>The student government reportedly passed a resolution supporting the IHRA definition of antisemitism. Entry to be updated when more information is available.
</p>",54,4/29/2021,IHRA Definition,University of Texas San Antonio,2021
"<p>The student government unanimously <a href=""https://www.jpost.com/breaking-news/penn-state-student-government-adopts-ihra-definition-of-antisemitism-666760"" target=""_blank"">passed</a> a resolution supporting the IHRA definition of antisemitism.  </p>",53,4/28/2021,IHRA Definition,Pennsylvania State University,2021
"<p>In an <a href=""https://www.upua.org/2021/04/executive-order-on-combating-antisemitism-at-penn-state-university-park/"" target=""_blank"">executive order</a>, the undergraduate student government <a href=""https://www.upua.org/2021/04/executive-order-on-combating-antisemitism-at-penn-state-university-park/"" target=""_blank"">adopted</a> the IHRA definition of antisemitism.</p>",52,4/8/2021,IHRA Definition,Pennsylvania State University,2021
"<p>A student government resolution adopting the IHRA definition of antisemitism <a href=""https://www.ssimovement.org/cpsu-868359.html"" target=""_blank"">passed</a> unanimously by the review board and then the executive board.</p>",48,4/7/2021,IHRA Definition,"California Polytechnic State University, SLO",2021
"<p>The Student Senate unanimously <a href=""https://twitter.com/JewishonCampus_/status/1380207802061295619"" target=""_blank"">passed</a> Resolution SS 2021-37, ""A Resolution Acknowledging, Defining and Condemning Antisemitism in Solidarity with Jewish Students."" The resolution calls for the University to adopt the IHRA definition of antisemitism. </p>",50,4/7/2021,IHRA Definition,University of Notre Dame,2021
"<p>The student government <a href=""https://www.ssimovement.org/uiowa.html"" target=""_blank"">passed</a> <a href=""https://mcusercontent.com/3436ce78e0dd1d292a9e08ae4/files/d507ac63-10a2-48a8-9f9b-9aad935f8f7a/SSB_17_Amended_65_.pdf"" target=""_blank"">resolution SSB 17</a>, which utilized the IHRA definition of antisemitism and called for the creation of a Jewish Constituency Senator position, alongside the numerous other ethnic constituency senator positions (after initially denying this position in part because of the position's affiliation with Hillel - see <a href=""https://amchainitiative.org/search-by-incident#incident/search/display-by-date/search/"" target=""_blank"">AMCHA tracker</a>).</p>",49,4/6/2021,"General A/S, IHRA Definition",University of Iowa,2021
"<p>A campus-wide referendum to adopt the International Holocaust Remembrance Alliance (IHRA) working definition of antisemitism <a href=""https://mndaily.com/266903/news/umn-student-body-votes-yes-to-both-referendums-elect-student-government-leadership/"" target=""_blank"">passed</a> with 58% of the vote. </p>",46,3/29/2021,IHRA Definition,University of Minnesota Twin Cities,2021
"<p>The student government unanimously <a href=""http://web.dailyorange.com/2021/03/student-association-anti-semitism-syracuse-university/"" target=""_blank"">passed</a> a bill condemning antisemitism and adopting the IHRA definition. The bill includes “actionable steps” for SA members and other community leaders to access anti-Semitism training, including a Stop BIAS program through Syracuse Hillel and encourages the SA to propose the definition to SU’s administration. </p>",44,3/22/2021,IHRA Definition,Syracuse University,2021
"<p>The student government <a href=""https://www.facebook.com/msuhillel/posts/10157682023861319"" target=""_blank"">passed</a> a resolution adopting the IHRA definition of antisemitism. MSU Jewish students later detailed <a href=""https://thejewishnews.com/2021/04/12/jewish-students-at-msu-speak-out-on-recent-harassment/"" target=""_blank"">harassment</a> following the passage of this resolution, which subsequently resulted in them feeling forced into ""rescind[ing] the original bill."" </p>",47,3/18/2021,IHRA Definition,Michigan State University,2021
"<p>The student government unanimously <a href=""https://www.ssimovement.org/ksu.html"" target=""_blank"">passed</a> a resolution in support of adopting the IHRA definition of antisemitism. </p>",45,3/17/2021,IHRA Definition,Kennesaw State University,2021
"<p>The student government of The University of Texas at Austin (UT Austin) unanimously <a href=""https://www.jns.org/university-of-texas-passes-resolution-to-adopt-ihra-anti-semitism-definition/"" target=""_blank"">passed</a> Resolution A.R. 09, which calls on the UT Austin student government to: commit to better address anti-Jewish sentiments on campus; adopt the IHRA definition for anti-Semitism; and issue “a pledge of support for better Jewish inclusion and protection.”</p><p><br /></p>",43,3/9/2021,IHRA Definition,University of Texas Austin,2021
"<p>UC San Diego’s Associated Students (on 2/24) and prior to that, the Graduate Students Association (on 2/22) both unanimously <a href=""https://www.sdjewishworld.com/2021/02/26/gains-against-antisemitism-at-ucsd-tufts/"" target=""_blank"">passed</a> resolutions adopting the IHRA definition of antisemitism. </p>",42,2/24/2021,IHRA Definition,University of California San Diego,2021
"<p>The student government unanimously <a href=""https://jewishjournal.com/news/332550/ucsb-passes-ihra-resolution/"" target=""_blank"">passed</a> a resolution adopting the IHRA definition of antisemitism. </p>",41,2/3/2021,"General A/S, IHRA Definition",University of California Santa Barbara,2021
"<p>The student government <a href=""https://www.jns.org/university-of-georgia-student-government-adopts-definition-of-anti-semitism/"" target=""_blank"">unanimously</a> <a href=""https://www.ssimovement.org/uga.html"" target=""_blank"">passed</a> ""A Resolution Condemning Antisemitism and Calling for Institutional Representation for Jewish Students"" that stated, ""The purpose of this resolution is to urge the University of Georgia to adopt the official definition of Antisemitism as stated by the International Holocaust Remembrance Alliance."" In 2015, the student government had passed a resolution expanding study abroad options in Israel. </p>",40,1/26/2021,"General A/S, IHRA Definition",University of Georgia,2021
"<p>The student government unanimously <a href=""https://jewishjournal.com/news/327522/csun-student-government-adopts-ihra-definition-of-anti-semitism/"" target=""_blank"">passed</a> a <a href=""http://csunas.org/wiki/SB-2020-21-006:_Condemning_Anti_Semitism?fbclid=IwAR1tMISYsXJnCqt3YC4caAQPTnHXUVR1md6k3JhX-R1wNN96E12reAaU4ow"" target=""_blank"">resolution</a> adopting the International Holocaust Remembrance Alliance (IHRA) definition of antisemitism.</p>",39,12/7/2020,IHRA Definition,CSU Northridge,2020
"<p>The student government <a href=""https://twitter.com/eliecodron/status/1333900092286394368"" target=""_blank"">passed</a> a <a href=""https://combatantisemitism.org/wp-content/uploads/2020/12/SS-FA-20-105-1.pdf"" target=""_blank"">resolution</a> against antisemitism that <a href=""https://combatantisemitism.org/latest-news/northeastern-university-in-boston-adopts-ihra-definition-of-anti-semitism/"" target=""_blank"">included</a> adoption of the IHRA definition in a 47 yes, 0 no and 27 abstentions vote. The resolution stated, ""Both the SGA and Northeastern University formally adopt the IHRA definition and all examples included within the definition of antisemitism as a guideline in order to effectively counter and act upon any future antisemitic incidents that may occur on campus.""</p>",38,11/30/2020,IHRA Definition,Northeastern University,2020
"<p>The CCNY USG <a href=""https://www.facebook.com/SSICCNY/posts/2862307190680043"" target=""_blank"">passed</a> a resolution against antisemitism that included adoption of the IHRA definition of antisemitism. </p>",37,11/19/2020,"General A/S, IHRA Definition",CUNY City College,2020
"<p>The student senate <a href=""https://www.jns.org/brooklyn-college-adopts-universal-definition-of-anti-semitism/"" target=""_blank"">adopted</a> the IHRA definition of antisemitism. </p>",51,11/17/2020,IHRA Definition,CUNY Brooklyn College,2020
"<p>A resolution calling on the University administration to adopt the IHRA definition of antisemitism <a href=""https://www.clevelandjewishnews.com/jns/st-lawrence-university-student-government-adopts-definition-of-anti-semitism/article_3f3bc4b4-94fe-5ce3-b23e-a3549212a4d4.html"" target=""_blank"">passed</a> unanimously in the student government. </p>",36,11/11/2020,IHRA Definition,St. Lawrence University,2020
"<p>The student government <a href=""https://www.jns.org/pace-university-student-government-adopts-universal-definition-of-anti-semitism/"" target=""_blank"">passed</a> a resolution against antisemitism that included the adoption of the IHRA definition of antisemitism. </p>",35,10/28/2020,IHRA Definition,Pace University,2020
"<p>In a 28-0 vote, the student government unanimously <a href=""https://www.jweekly.com/2020/10/23/students-at-foothill-college-pass-antisemitism-resolution/"" target=""_blank"">passed</a> a resolution against antisemitism that calls on the College to adopt the International Holocaust Remembrance Alliance (IHRA) definition of antisemitism.</p>",33,10/22/2020,IHRA Definition,Foothill College,2020
"<p>The Student Government Association passed a controversial and watered-down resolution <a href=""https://www.instagram.com/p/CGp0WJ6lKzf/"" target=""_blank"">2021-026</a>, that had been introduced by SJP members to counter an <a href=""https://thebutlercollegian.com/2020/10/sga-will-not-pass-a-definition-of-anti-semitism-this-term/"" target=""_blank"">original resolution</a> proposing the IHRA definition drafted by Jewish students, 2021-021. Due to the IHRA's definition's inclusion in the original resolution, backlash ensued by SJP and others, including the filing of numerous bias reports to the Office of Student Affairs, which resulted in the University's involvement to cause an injunction and the resolution being struck from the Senate floor. The resolution that passed in the end, 2021-026, generically denounced antisemitism and stated that SGA will not address the definition of antisemitism at all again this term, to the objection of numerous Jewish students.</p>",34,10/21/2020,"General A/S, IHRA Definition",Butler University,2020
"<p>Senate Resolution 5, which condemns antisemitism, was <a href=""http://www.jewishaz.com/community/asu-student-government-calls-on-university-to-adopt-definition-of-anti-semitism/article_fc03b93c-f866-11ea-bd95-1b0040172dcd.html"" target=""_blank"">passed</a> by a vote of 15-1-3. The resolution called on the ASU President to release a public statement the recent antisemitic incidents on campus, on ASU to adopt the IHRA definition of antisemitism and on the Office of Educational Outreach and Student Services to establish a Jewish Cultural Coalition. Seven Jewish organizations on campus co-signed the resolution, including Chabad at ASU, the Hillel at ASU Student Leadership Board, Jewish Arizonans on Campus, Students Supporting Israel at ASU, Sun Devil Public Affairs Committee, Alpha Epsilon Pi Fraternity and Alpha Epsilon Phi Sorority. </p>",32,9/15/2020,"General A/S, IHRA Definition",Arizona State University,2020
"<p>Resolution 59, which acknowledges the IHRA definition of antisemitism and calls for increased representation of Jewish students by the Florida State University (FSU) Student Senate, passed on July 15, 2020 with a vote of 26 in favor, 14  against, and 0 abstentions after previously being <a href=""https://www.algemeiner.com/2020/07/14/florida-state-university-student-senate-led-by-president-accused-of-antisemitism-filibusters-resolution-defending-jewish-students/"" target=""_blank"">filibustered</a>. The student senate had previously <a href=""https://www.facebook.com/FSUSJP/posts/3731632893530219"" target=""_blank"">tabled</a> Resolution 59 on July 9, 2020 after not voting on <a href=""http://sga.fsu.edu/bills/7.1.20.pdf"" target=""_blank"">the resolution</a> after a five-hour meeting in which it was filibustered. It had first passed readily in the Student Life & Academic Affairs Committee before that and moved onto the Student Senate for a vote. However, following a campaign by SJP for supporters to personally target and email senators in objection of the resolution, with a template email that utilized antisemitic language that demonized Israel, it was then filibustered. According to SJP, the resolution was tabled because, ""Senators suggested that our emails and public comments are shaking their belief in a pro-Israel consensus on campus and need to do more consultation with constituents before voting"".</p><p>In February 2021, an anti-IHRA resolution introduced by a controversial former student senate president for his past antisemitic statements, which called on FSU to “rescind” its adoption of IHRA, <a href=""https://www.jns.org/florida-state-university-student-senate-rejects-pro-bds-anti-ihra-resolutions/"" target=""_blank"">failed</a> in committee before it could reach the senate floor </p>",31,7/15/2020,IHRA Definition,Florida State University,2020
"<p>The board members of Associated Students (AS) unanimously <a href=""https://www.thecorsaironline.com/corsair/2020/5/6/associated-students-pass-resolution-in-solidarity-with-jewish-students-after-criticism"" target=""_blank"">approved</a> and sponsored the “Expressing Solidarity for Jewish Students at Santa Monica College” resolution at a Zoom-hosted board meeting. The passed resolution <a href=""https://amchainitiative.org/wp-content/uploads/2020/05/SMC-anti-Semitism-Resolution_FINAL.pdf"" target=""_blank"">states</a>, ""Jewish undergraduate students are subjected to discrimination and harassment"" as well as commendably expresses, ""the A.S. finds it unacceptable to harass, intimidate, marginalize, exclude or demonize any member of our community college on the basis of their identity"". The resolution resolves that, ""the A.S. advocates for SMC’s commitment to publicly denounce any incidents of antisemitism that occur and affect the SMC community"". During the course of the <a href=""https://jewishjournal.com/santa_monica/315864/santa-monica-college-student-govt-passes-resolution-condemning-anti-semitism/"" target=""_blank"">discussion</a>, the IHRA definition of antisemitism was removed.</p>",30,5/4/2020,"General A/S, IHRA Definition",Santa Monica College,2020
"<p>Following the introduction of a BDS resolution and discussions on campus, the Undergraduate Student Government Tempe passed <a href=""https://www.statepress.com/article/2019/12/sppolitics-usgt-passes-resolution-in-favor-of-the-jewish-community"" target=""_blank"">Resolution 12</a>, ""A Resolution to Stand With Jewish Students at ASU"" that stated, ""NOTING that ASU students who are part of the Jewish community have expressed concerns over their own safety on-campus to the administration and police force in light of recent events, specifically Nazi propaganda... BE IT RESOLVED that the Undergraduate Student Government of Tempe supports all students in mutual civil dialogue and debate in an environment that is free from threat and intimidation; BE IT FURTHER RESOLVED that the Undergraduate Student Government of Tempe does not support any type of intimidation, hate speech, or threats directed towards anyone, does not support anti-Semitism, and stands by the Jewish community...""</p><p><br></p>",28,12/3/2019,General A/S,Arizona State University,2019
"<p>The Student Association Senate <a href=""https://jewishjournal.com/news/nation/307357/jewish-groups-students-criticize-gwu-student-senate-for-passing-watered-down-anti-semitism-resolution/"" target=""_blank"">passed</a> a <a href=""https://docs.google.com/document/d/1hjfrl2ZUADG9lXd1civMgL_U0hOXiIBaDNgCTbvDi0M/edit"" target=""_blank"">resolution</a> titled, ""The Anti-Semitism Condemnation Act,” that approved some aspects of the IHRA Definition and State Department definitions of antisemitism, but removed additional clauses that claimed the state of Israel is a ‘racist endeavor’ and that Israel has the right to exist as a Jewish state before being passed. The resolution states that, ""Some Jewish students at The George Washington University have expressed that  anti-Zionism can be a mask for anti-Semitism, and Jewish communities are often targets for anti-Israel animus"" and endorsed the notion that antisemitism includes statements equating Israel to the Nazis, that accuses Jews of dual loyalty to Israel or applies double standards to Israel, as we as that “denying the Jewish people the right to self-determination"" is antisemitic.</p>",27,11/18/2019,"General A/S, SD Definition, IHRA Definition",George Washington University,2019
"<p>Following a swastika incident on campus, the Associated Students of Colorado State University unanimously voted to <a href=""https://collegian.com/2019/09/category-news-ascsu-passes-resolution-bill-in-support-of-jewish-community/"" target=""_blank"">pass</a> a <a href=""https://ascsu.colostate.edu/wp-content/uploads/sites/11/2019/10/Resolution-4904-1-Standing-United-Against-Antisemitism-2-converted.pdf"" target=""_blank"">resolution</a> titled, ""Resolution 4904 — Standing united against campus antisemitism"" in support of the campus Jewish community as well as a bill, titled, ""Bill 4905 — Approval of BSOF funding for Holocaust Awareness Week"" which passed with a unanimous roll call vote.</p>",26,9/25/2019,General A/S,Colorado State University,2019
"<p>The UC Davis Student Government ruled that a <a href=""https://asucd.ucdavis.edu/wp-content/uploads/2015/06/SR.17.Spring.pdf"" target=""_blank"">2015 BDS resolution</a> was <a href=""https://www.algemeiner.com/2019/05/15/uc-davis-student-leaders-repeal-unconstitutional-israel-divestment-resolution/"" target=""_blank"">unconstitutional</a>, stating in the ruling: ""The passing of this [BDS] Resolution has led to the discrimination and harassment of students whose ethnicity, national origin or political beliefs are in opposition to the content of the Resolution. As discussed during the [May 8, 2019] hearing, the verbiage within the Resolution has caused harassment against many students.” The ruling found that the BDS resolution contravened a section of the ASUCD Constitution that commits the Senate to “promote the welfare and interests of the members of the ASUCD, explaining that ""while this [BDS} Resolution caters to the welfare of a group of students, it does so at the expense of the welfare of other students.” The BDS resolution was also found to be in breach of the ASUCD Student Bill of Rights, which rejects “discrimination and harassment on the basis of … ethnicity … national origin … or political belief.”</p>",25,5/13/2019,Anti-BDS,University of California Davis,
"<p>Associated Students, Inc. (ASI) <a href=""http://mustangnews.net/response-to-asi-passing-the-freedom-of-speech-and-anti-discrimination-bylaw-amendment/"">passed</a> the Freedom of Speech and Anti-Discrimination bylaw amendment. According to <em>Mustang News</em>, ""Section 4.7.1.3 of the bill states that “neither the board nor any body or organization under its jurisdiction … shall not practice or sanction any unlawful discriminatory practice related to: veteran status, uniformed service member status, race, color, religion, gender identity, gender expression, sex, sexual orientation, pregnancy (including childbirth, lactation, or related medical conditions), age, national origin or ancestry, immigration status, citizenship status, physical or mental disability, or genetic information (including testing and characteristics).” According to two of the bill's drafters the bill would help, ""Jewish students who are concerned about the rise of antisemitism and antizionism nationally and especially on college campuses, in addition to other forms of xenophobia and discrimination of marginalized communities at Cal Poly SLO... [BDS] would be categorized as a form of discrimination [which would be] protect[ed] against with this bill... [The hope is that if BDS ever comes to Cal Poly, that] future leaders [will] look at this piece of legislation and thoroughly examine whether passing BDS would go against the bylaws of our organization and pose a risk to Associated Students Inc.”</p>",24,5/1/2019,Anti-BDS,"California Polytechnic State University, SLO",2019
"<p>A resolution was <a href=""https://www.jns.org/university-of-st-thomas-student-government-passes-pro-israel-resolution/"">passed</a> in the student government that <a href=""https://www.ssimovement.org/st-thomas-university.html"" target=""_blank"">stated</a>, ""Antisemitism includes the delegitimization of Israel through denying Jewish people their right to self-determination and denying Israel the right to exist. The University of Saint Thomas Undergraduate Government adopts the definition of antisemitism stated in the first section. The University of Saint Thomas Undergraduate Government will recognize that the Jewish people, like all peoples, have a collective right to self-determination.""</p>",23,4/15/2019,"General A/S, SD Definition, IHRA Definition",University of St. Thomas,2019
"<p>The Associated Student Government Senate <a href=""https://brandeiscenter.com/university-of-arkansas-student-government-passes-anti-bds-resolution/"">passed</a>, “A Resolution to Reaffirm Support for Jewish and Israeli Students at the University of Arkansas” in a 40-2 vote. The <a href=""https://brandeiscenter.com/wp-content/uploads/2018/05/ASG-SR-No.-19-Jewish-Student-Legislation-3-zpfuz6.pdf"">resolution</a> was drafted in “support of Jewish and Israeli students” on campus and labels the BDS movement as anti-Semitic as well as “promotes the inclusion of Jewish and Israeli students and their beliefs and values on campus.”</p>",19,4/10/2019,Anti-BDS,University of Arkansas,2019
"<p>A resolution entitled “Combating Anti-Semitism” was passed by the student government which was defined as “meaningless” by many members and leaders of the campus Jewish community after explicit requests of the Jewish community, including calling for the University to adopt the International Holocaust Remembrance Alliance’s definition of antisemitism, were ignored and the resolution was substantially amended. One Jewish student leader <a href=""https://dailyillini.com/opinions/2019/03/25/isg-emboldens-anti-semitism-on-campus/"">expressed</a> that the “ISG voted in opposition to the Jewish community. They passed an amended resolution, supposedly about anti-Semitism, which addressed a wide variety of other ‘isms’ or minority groups and misrepresented entirely what anti-Semitism is... The ISG emboldened anti-Semitism on this campus, silenced Jewish students and voted directly against the Jewish community by passing a resolution that it was told explicitly did not address anti-Semitism.”</p>",22,3/13/2019,"General A/S, IHRA Definition",University of Illinois Urbana Champaign,2019
